110 	33 	4060 - S.W.A.G. 	15 [Auburn Mountainview District Event] 	18 [Mount Vernon District Event] 	--- 	--- 	0
111 	33 	3586 - Pride in the Tribe-Caveman Rob... 	15 [Auburn Mountainview District Event] 	18 [Eastern Washington University District Event] 	--- 	--- 	0
112 	33 	3218 - Panther Robotics 	13 [Auburn Mountainview District Event] 	20 [Auburn District Event] 	--- 	--- 	0
113 	33 	5295 - Aldernating Current 	11 [Auburn Mountainview District Event] 	12 [Shorewood District Event] 	--- 	--- 	10
114 	32 	3826 - SkyNet Robotics North West 	28 [Glacier Peak District Event] 	4 [Auburn District Event] 	--- 	--- 	0
115 	32 	4512 - BEAR Bots 	6 [Glacier Peak District Event] 	21 [Mount Vernon District Event] 	--- 	--- 	5
116 	31 	949 - Wolverine Robotics 	23 [Glacier Peak District Event] 	8 [Shorewood District Event] 	--- 	--- 	0
117 	31 	2660 - Pengbots 	25 [Glacier Peak District Event] 	6 [Mount Vernon District Event] 	--- 	--- 	0
118 	31 	3268 - Viking Robotics 	14 [Glacier Peak District Event] 	17 [Shorewood District Event] 	--- 	--- 	0
119 	30 	1571 - Error404 	6 [Oregon City District Event] 	24 (IP) [Oregon State University District Event] 	--- 	--- 	0
120 	30 	4173 - Bulldogs 	8 [Mount Vernon District Event] 	22 [Central Washington University District Event] 	--- 	--- 	0
121 	30 	1510 - Wildcats 	19 [Mount Vernon District Event] 	11 [Wilsonville District Event] 	--- 	--- 	0
122 	29 	3712 - RoboCats 	12 [Central Washington University District Event] 	17 (IP) [Oregon State University District Event] 	--- 	--- 	0
123 	29 	4309 - 4-H Botsmiths 	6 [Glacier Peak District Event] 	23 [Mount Vernon District Event] 	--- 	--- 	0
124 	29 	4110 - DEEP SPACE NINERS 	8 [Wilsonville District Event] 	21 (IP) [Oregon State University District Event] 	--- 	--- 	0
125 	28 	3221 - KM Royals 	20 [Auburn Mountainview District Event] 	8 [Auburn District Event] 	--- 	--- 	0
126 	28 	3673 - C.Y.B.O.R.G. Seagulls 	22 [Oregon City District Event] 	6 (IP) [Oregon State University District Event] 	--- 	--- 	0
127 	28 	3684 - Electric Eagles 	24 [Glacier Peak District Event] 	4 [Auburn District Event] 	--- 	--- 	0
128 	27 	3575 - Okanogan FFA 	19 [Eastern Washington University District Event] 	8 [Central Washington University District Event] 	--- 	--- 	0
129 	27 	3576 - Clover Park High School Warrio... 	8 [Auburn Mountainview District Event] 	19 [Auburn District Event] 	--- 	--- 	0
130 	27 	4682 - Brave Bots 	13 [Glacier Peak District Event] 	9 [Shorewood District Event] 	--- 	--- 	5
131 	26 	4180 - Iron Riders 	8 [Shorewood District Event] 	18 [Auburn District Event] 	--- 	--- 	0
132 	26 	3781 - 4-HPenneyBots 	12 [Auburn Mountainview District Event] 	14 [Shorewood District Event] 	--- 	--- 	0
133 	26 	4132 - Scotbots 	14 [Oregon City District Event] 	12 [Wilsonville District Event] 	--- 	--- 	0
134 	26 	4304 - Iron Rams 	13 [Auburn Mountainview District Event] 	13 [Auburn District Event] 	--- 	--- 	0
135 	23 	3192 - Tiger Bytes 	6 [Wilsonville District Event] 	17 (IP) [Oregon State University District Event] 	--- 	--- 	0
136 	23 	4495 - Tigers 	6 [Eastern Washington University District Event] 	12 [Central Washington University District Event] 	--- 	--- 	5
137 	20 	4104 - Blackhawks 	12 [Eastern Washington University District Event] 	8 [Central Washington University District Event] 	--- 	--- 	0
138 	20 	2542 - Go4bots 	12 [Oregon City District Event] 	8 [Wilsonville District Event] 	--- 	--- 	0
139 	20 	3049 - Fluffy Robotics 	10 [Shorewood District Event] 	10 [Auburn District Event] 	--- 	--- 	0
140 	20 	4043 - NerdHerd 	14 [Wilsonville District Event] 	6 (IP) [Oregon State University District Event] 	--- 	--- 	0
141 	18 	2942 - Panda Machine 	10 [Shorewood District Event] 	8 [Auburn District Event] 	--- 	--- 	0
142 	18 	3831 - Da Bears 	10 [Eastern Washington University District Event] 	8 [Central Washington University District Event] 	--- 	--- 	0
143 	18 	3876 - Mabton LugNutz 	10 [Eastern Washington University District Event] 	8 [Central Washington University District Event] 	--- 	--- 	0
144 	18 	4082 - Ranching Robots 	10 [Eastern Washington University District Event] 	8 [Central Washington University District Event] 	--- 	--- 	0
145 	17 	4683 - Full-metal Robotics 	6 [Glacier Peak District Event] 	6 [Mount Vernon District Event] 	--- 	--- 	5
146 	16 	1432 - Mahr's Metal Beavers 	6 [Wilsonville District Event] 	10 (IP) [Oregon State University District Event] 	--- 	--- 	0
147 	16 	2922 - RoboCon 	8 [Mount Vernon District Event] 	8 [Auburn District Event] 	--- 	--- 	0
148 	15 	4692 - Metal Mallards 	4 [Oregon City District Event] 	6 [Wilsonville District Event] 	--- 	--- 	5
149 	13 	753 - High Desert Droids 	5 [Oregon City District Event] 	8 [Central Washington University District Event] 	--- 	--- 	0
150 	12 	2555 - RoboRams 	2 [Auburn Mountainview District Event] 	10 [Auburn District Event] 	--- 	--- 	0
151 	10 	3681 - Raiders FRC 	2 [Glacier Peak District Event] 	8 [Shorewood District Event] 	--- 	--- 	0
152 	6 	4105 - ChiefBotsFTS 	6 [Eastern Washington University District Event] 	Not Played 	--- 	--- 	0
153 	0 	3286 - the rocket surgeons 	0 [Central Washington University District Event] 	Not Played 	--- 	--- 	0
